id,slug,title,username,upvote_count,view_count,average_rating,share_count,genre,thumbnail_url
11,recipe-for-a-flow-state,Recipe for a flow state,afrobeezy,2,27,42,8,Educational/Inspirational,https://video-cdn.socialverseapp.com/michael_9f5b241d-d40e-4946-be5d-711448b7e0f4.0000002.jpg
12,why-fit-in,Why fit in..?,afrobeezy,2,3,0,0,Animation/Emotional Narrative,https://video-cdn.socialverseapp.com/michael_5f68cfbe-d0aa-4346-ad84-6536d5191873.0000002.jpg
13,transcending-singularity,Transcending Singularity,afrobeezy,0,84,8,0,Philosophical Exploration,https://video-cdn.socialverseapp.com/michael_54a0ad4d-695c-49a0-bbb3-25bf81d051f9.0000002.jpg
14,peak-performance,Peak Performance?,afrobeezy,2,32,28,0,Motivational/Self-help,https://video-cdn.socialverseapp.com/michael_426fc35d-60e3-4bc2-8eb4-a555860ac3d3.0000002.jpg
15,our-existential-situation,Our Existential Situation,afrobeezy,1,29,33,0,Philosophical Commentary,https://video-cdn.socialverseapp.com/michael_b09d05b2-b2ec-4136-b14e-36483ff6a406.0000002.jpg
16,act-now1,act now!,afrobeezy,3,29,22,0,Technical Tutorial,https://video-cdn.socialverseapp.com/michael_43c678cf-7a8f-4f8a-b7d5-b518e206be01.0000002.jpg
17,jump-just-jump,Jump. Just Jump!,afrobeezy,1,16,28,0,motivational narrative,https://video-cdn.socialverseapp.com/michael_2b4128b1-8bc9-481d-8e40-b55cdfc7cbe2.0000002.jpg
19,we-are-made-of-stars,WE ARE MADE OF STARS,afrobeezy,3,141,16,0,Educational/Documentary,https://video-cdn.socialverseapp.com/michael_1085c54c-26e8-4691-8558-f618f7b5732f.0000002.jpg
23,direct-your-energy-on-the-right-things,Direct your energy on the right things,afrobeezy,1,19,28,0,Motivational/Personal Development,https://video-cdn.socialverseapp.com/michael_4901cc10-76ef-4dda-b198-1c6699b19043.0000002.jpg
26,be-brave-be-different,Be Brave. Be Different,afrobeezy,2,19,26,1,Motivational/Inspirational,https://video-cdn.socialverseapp.com/michael_791cac36-1c19-4631-8caf-a0b8c13adfa3.0000002.jpg
27,consistency,Consistency,afrobeezy,0,18,31,0,Motivational Interview,https://video-cdn.socialverseapp.com/afrobeezy_19213d62-2e9c-4569-ae5c-569b90759ace.0000002.jpg
28,reprogram-your-subconscious-mind,Reprogram your subconscious mind,afrobeezy,0,11,34,0,motivational/inspirational,https://video-cdn.socialverseapp.com/afrobeezy_cf5a939d-3885-4a74-b2ca-bc46d4177553.0000002.jpg
29,how-to-be-disciplined,How to be disciplined,afrobeezy,3,22,39,0,motivational,https://video-cdn.socialverseapp.com/afrobeezy_eba5e7c7-cb29-4836-a66a-ef77fbefe76c.0000002.jpg
30,ask-yourself,Ask yourself,afrobeezy,2,13,41,0,motivational speech,https://video-cdn.socialverseapp.com/afrobeezy_26912941-3a15-4a7e-b0e9-1f5bc6525de8.0000002.jpg
31,don-t-laugh,Don't laugh,afrobeezy,3,107,6,0,Motivational Speech,https://video-cdn.socialverseapp.com/afrobeezy_2d1f97b5-c67a-4afa-945e-730d2e496f2c.0000002.jpg
32,always-choose-peace-over-drama,always choose peace over drama,afrobeezy,1,12,42,0,Documentary,https://video-cdn.socialverseapp.com/afrobeezy_91ace5e7-313d-4593-86ad-c15e2978ee95.0000002.jpg
33,enough-is-enough,Enough is enough,afrobeezy,4,82,19,0,motivational narrative,https://video-cdn.socialverseapp.com/afrobeezy_6f521267-2916-47e0-a744-b35d8dedf607.0000002.jpg
34,learn-to-think,Learn to think,afrobeezy,1,9,40,0,Educational,https://video-cdn.socialverseapp.com/afrobeezy_beece91e-d4e0-49be-ac1d-6534a29201a0.0000002.jpg
35,life-is-shorter-than-you-think,Life is shorter than you think,afrobeezy,1,17,33,0,Motivational/Inspirational,https://video-cdn.socialverseapp.com/afrobeezy_3f19d866-6742-448b-9958-90e28ed9e3ec.0000002.jpg
36,knowledge-will-liberate-you,Knowledge will liberate you,afrobeezy,3,27,30,0,motivational speaking,https://video-cdn.socialverseapp.com/afrobeezy_9e478b1b-b8c5-4345-9360-d25ed1aeeb30.0000002.jpg
38,meditate,meditate🧘‍♂️,mike,1,47,16,0,Inspirational Self-Help,https://video-cdn.socialverseapp.com/mike_27ab00b6-e06c-4149-9a80-4d7ba60d50a8.0000002.jpg
39,take-the-holy-vible-pill,take the holy vible pill :),mike,2,20,37,0,animated satire,https://video-cdn.socialverseapp.com/mike_aea2f262-96ea-4360-b74b-ee0a739ec1d0.0000002.jpg
40,trials-to-test-you,trials to test you...,mike,3,47,22,0,animated philosophical discussion,https://video-cdn.socialverseapp.com/mike_c58d4419-85a8-4a2a-884b-166cf2141c4f.0000002.jpg
43,why-are-you-here,why are you here?,mike,2,75,9,0,Artistic Commentary,https://video-cdn.socialverseapp.com/mike_c9f856b2-89aa-41b3-a85b-a86919ef71c2.0000002.jpg
44,escape-the-matrix2,escape the matrix,mike,11,146,7,0,Inspirational/Documentary,https://video-cdn.socialverseapp.com/mike_7b287972-bfb6-40dd-906d-110d84f119f0.0000002.jpg
46,reject-cheap-dopamine,reject cheap dopamine,mike,0,14,34,0,motivational documentary,https://video-cdn.socialverseapp.com/mike_81d5233b-a991-40e4-b62a-a0e21cce2f37.0000002.jpg
47,be-aware,be aware...,mike,1,16,26,0,self-help motivational,https://video-cdn.socialverseapp.com/mike_f7d55645-06ad-46fb-b4eb-7f435d6d1208.0000002.jpg
49,2-truths-to-set-you-free,2 truths to set you free,mike,1,23,31,0,Motivational Animation,https://video-cdn.socialverseapp.com/mike_7482a8eb-e255-4f46-bd6a-29d809324cd8.0000002.jpg
50,live,LIVE!,mike,1,12,37,1,Motivational Short Film,https://video-cdn.socialverseapp.com/mike_0bef85ac-bac3-48f8-9e0e-19213a8a5528.0000002.jpg
52,matthew-25-29,Matthew 25:29,mike,5,127,28,0,motivational/spiritual,https://video-cdn.socialverseapp.com/mike_78b56afc-3c72-4754-b4d1-8e09b279d970.0000002.jpg
54,change-your-environment,Change your environment!,mike,2,7,0,0,Personal Development / Self-help,https://video-cdn.socialverseapp.com/mike_f75c4be0-d466-4b40-b369-7beadee08e8a.0000002.jpg
56,keep-on-fighting,keep on fighting!! 😤,mike,6,87,6,0,motivational,https://video-cdn.socialverseapp.com/mike_1b7f948e-b731-4a52-9d07-29ed6113dfa8.0000002.jpg
58,act-now,act now!,afrobeezy,3,20,41,0,Motivational/Inspirational,https://video-cdn.socialverseapp.com/afrobeezy_0d6d5abd-9e86-4173-9800-96f1bb693f1e.0000002.jpg
59,push-through-the-pain,push through the pain 🫡,afrobeezy,1,20,42,0,Motivational/Inspirational,https://video-cdn.socialverseapp.com/afrobeezy_2685ed9a-fa21-45da-9383-129f13810719.0000002.jpg
60,flip-the-switch,flip the switch,afrobeezy,1,33,27,0,motivational visual presentation,https://video-cdn.socialverseapp.com/afrobeezy_a8b7f0e4-6d54-4e17-97de-f7c2762e7f54.0000002.jpg
61,beff-jezos-more-energy-is-good-e-acc,Beff Jezos - More energy is Good e/acc,afrobeezy,1,0,0,0,Educational/Documentary,https://video-cdn.socialverseapp.com/afrobeezy_52013b7c-2f1f-4b14-8b19-e57f3bf78788.0000002.jpg
62,what-is-e-acc,what is e/acc,afrobeezy,1,0,0,0,Educational/Discussion,https://video-cdn.socialverseapp.com/afrobeezy_b2bef96a-045e-43da-b030-da1c09a01de8.0000002.jpg
63,this-app-is-literally-steroids-for-your-brain,This app is literally steroids for your brain,jack,3,4,0,0,motivational/educational,https://video-cdn.socialverseapp.com/jack_9fe743fe-5749-498b-a3f0-f6d7bbb97fe1.0000002.jpg
64,gratitude-acc,Gratitude/Acc 🖖🫡,jack,4,4,0,0,Spiritual narrative,https://video-cdn.socialverseapp.com/jack_e39b5985-9c8d-47ee-904b-f1196c415ce7.0000002.jpg
65,tiktok-steals-your-dreams-we-help-you-attain-them,"tiktok steals your dreams, we help you attain them",jack,4,4,0,0,Documentary/Reflective,https://video-cdn.socialverseapp.com/jack_0ec7ff5a-f4ae-40d6-aa9c-29d75878c483.0000002.jpg
66,a-new-dawn-of-personalized-computing-is-is-front-of-you-rn,A new dawn of personalized computing is is front of you rn,jack,5,9,0,0,Documentary/Tech Exploration,https://video-cdn.socialverseapp.com/jack_0c3421f4-7f17-4b12-a507-f9edb6599280.0000002.jpg
67,bloomsday-is-coming,BLOOMSDAY IS COMING 🥰,jack,3,11,0,0,Inspirational,https://video-cdn.socialverseapp.com/jack_8eacf89a-1237-4c2b-b69e-e0880e76e2fd.0000002.jpg
68,dyson-sphere,DYSON SPHERE,afrobeezy,0,0,0,0,Educational/Science,https://video-cdn.socialverseapp.com/afrobeezy_ff7e387b-acb2-48ff-a9a8-a52ef9d4b3a5.0000002.jpg
69,new-culture-e-acc,new culture e/acc,afrobeezy,0,0,0,0,Documentary/Narrative,https://video-cdn.socialverseapp.com/afrobeezy_2d1e6171-8a09-4124-b768-6a8d21042520.0000002.jpg
70,is-e-acc-religion,is e/acc religion?,afrobeezy,0,1,0,0,Educational/Informative,https://video-cdn.socialverseapp.com/afrobeezy_0013f3a6-b24b-4c2a-b2b6-fef58e0a914f.0000002.jpg
71,choose,choose…,afrobeezy,0,0,0,0,Motivational/Inspirational,https://video-cdn.socialverseapp.com/afrobeezy_65b97259-5a03-4ce4-bb50-5798af47cf26.0000002.jpg
72,how-would-you,how would you?,afrobeezy,0,0,0,0,Motivational/Inspirational,https://video-cdn.socialverseapp.com/afrobeezy_6457f544-86c3-45cc-80e1-212a67cbfdd1.0000002.jpg
73,elevate,elevate,afrobeezy,1,0,0,0,educational/technical analysis,https://video-cdn.socialverseapp.com/afrobeezy_2dc9bc05-86dc-432f-a212-0a8cbea4e00d.0000002.jpg
74,war-of-images,war of images,afrobeezy,1,0,0,0,conceptual exploration / artistic commentary,https://video-cdn.socialverseapp.com/afrobeezy_edb5e264-eddc-41fa-b500-15eabef93a35.0000002.jpg
75,what-is-reality,what is reality?,afrobeezy,1,0,0,0,educational/analytical video,https://video-cdn.socialverseapp.com/afrobeezy_38834cc4-6295-4b0a-9716-268831ecac37.0000002.jpg
77,escape-the-matrix,escape the matrix,afrobeezy,1,1,0,0,Artistic Commentary/Emotional Narrative,https://video-cdn.socialverseapp.com/afrobeezy_31034534-4553-4f01-887c-78158298dbbe.0000002.jpg
78,choose-your-path,choose your path,afrobeezy,0,0,0,0,Animated Narrative Self-Improvement,https://video-cdn.socialverseapp.com/afrobeezy_2b4c0bbd-de39-45ae-ac40-60261e658412.0000002.jpg
79,psywar,psywar,afrobeezy,0,0,0,0,Documentary/Media Analysis,https://video-cdn.socialverseapp.com/afrobeezy_f81820dd-88bc-4377-9bab-b0cd94a54b6e.0000002.jpg
80,don-t-get-distracted,don’t get distracted,afrobeezy,1,0,0,0,motivational/educational,https://video-cdn.socialverseapp.com/afrobeezy_705c4ab4-3b9b-46f6-b381-80ed3e0c16d5.0000002.jpg
81,how-are-the-2023-fitness-goals-going,how are the 2023 fitness goals going?,kinha,7,80,0,0,Animated Comedic Narrative,https://video-cdn.socialverseapp.com/Partik_9d6a7bda-798f-4768-a9cc-a2e8d7091d86.0000002.jpg
82,decide-to-be-extraodinary-and-do,Decide to be extraodinary and do,kinha,2,40,31,0,Motivational Animation,https://video-cdn.socialverseapp.com/kinha_db5268a0-e503-4ab3-8ac4-fb0990d7d478.0000002.jpg
83,clarity-brings-power,Clarity brings power.,kinha,1,30,33,0,Inspirational/Artistic Reflection,https://video-cdn.socialverseapp.com/kinha_9c5f8806-b073-46e7-b0a1-634fc1410a93.0000002.jpg
84,just-focus-on-today,Just focus on today.,kinha,5,36,29,0,Mindfulness and self-help,https://video-cdn.socialverseapp.com/kinha_1cf00dde-a18e-4bbf-b74b-0c4a840c83f3.0000002.jpg
85,fun-fact-oscar-wilde-was-a-homosexual-i-think-that-sort-of-adds-another-layer-of-perspective-to-this-quote-almost-as-if-he-was-viewing-the-relationships-between-men-and-women-from-an-outside-point-of-view,Fun fact: Oscar Wilde was a homosexual. I think that sort of adds another layer of perspective to this quote. Almost as if he was viewing the relationships between men and women from an outside point of view.,kinha,0,15,22,0,Art and Philosophy,https://video-cdn.socialverseapp.com/kinha_6c5d96da-f27c-43b9-bef5-63d919e7eaee.0000002.jpg
86,revolutionizing-men-s-mental-health-your-0-99-matters,Revolutionizing Men's Mental Health: Your $0.99 Matters,kinha,3,73,29,0,Documentary/Advocacy,https://video-cdn.socialverseapp.com/kinha_64cc8197-8e8a-4a17-88d7-de97e3692324.0000002.jpg
88,are-you-going-to-make-it,are you going to make it?,afrobeezy,1,0,0,0,Documentary / Social Commentary,https://video-cdn.socialverseapp.com/afrobeezy_385351b7-9211-401f-a4b1-f130c22f0102.0000002.jpg
89,it-all-begins-in-your-mind-never-give-up,"it all begins in your mind, never give up!",afrobeezy,0,0,0,0,Narrative/Animated Short,https://video-cdn.socialverseapp.com/afrobeezy_d7854ad8-c4e4-41ac-8246-e1c6e61fbf5a.0000002.jpg
90,you-re-in-a-danger-of-living-life-so-comfortable,you’re in a danger of living life so comfortable,afrobeezy,0,0,0,0,Motivational,https://video-cdn.socialverseapp.com/afrobeezy_41fa731b-142c-4594-8377-738a980408bf.0000002.jpg
91,you-re-your-greatest-ally,you’re your greatest ally,afrobeezy,0,0,0,0,motivational/educational,https://video-cdn.socialverseapp.com/afrobeezy_4641ec43-f3e0-4452-88fb-d1f7397a638d.0000002.jpg
93,do-not-conform-to-a-dying-society,do not conform to a dying society,afrobeezy,0,1,0,0,Animated Short Film,https://video-cdn.socialverseapp.com/afrobeezy_82566c8a-f13a-4403-bb5f-5c8ab3c5fa86.0000002.jpg
94,the-historical-man,the historical man,afrobeezy,1,3,0,0,"Educational, Inspirational",https://video-cdn.socialverseapp.com/afrobeezy_f75af959-4459-4aff-a313-4f3ccd2a7377.0000002.jpg
95,modern-life-is-set-up-to-distract-you,modern life is set up to distract you,afrobeezy,0,2,0,0,animated motivational narrative,https://video-cdn.socialverseapp.com/afrobeezy_db2bc661-52b4-4a42-a048-55d890d6f838.0000002.jpg
97,awakening,awakening,afrobeezy,2,7,0,0,Motivational/Inspirational,https://video-cdn.socialverseapp.com/afrobeezy_7187d84f-3bb5-4e53-920d-127e31bd0c79.0000002.jpg
100,7bf157ed566d3f96d203598b2cdeb81b6a363592,,kinha,2,18,42,1,Motivational/Inspirational,https://video-cdn.socialverseapp.com/kinha_571af3f9-91c2-43f3-8e23-35ad41ec1fcb.0000002.jpg
129,d3e97ee266d465e6aff79ce202e5e828edff16a0,,kinha,0,16,41,1,Philosophical Exploration,https://video-cdn.socialverseapp.com/kinha_56834abd-2f77-4ca8-8e40-7ba86038058b.0000002.jpg
130,c4ac54fc138184c46b1c9657c1272e8e704c5b4a,,kinha,0,31,28,0,Educational/Analysis,https://video-cdn.socialverseapp.com/kinha_596f6991-df85-4152-b0a0-0081faecf476.0000002.jpg
131,88b6cb21e3edff6c13dd6e895407cc27ec632bfe,,kinha,1,10,28,0,motivational/inspirational,https://video-cdn.socialverseapp.com/kinha_16142c01-a0bb-4f88-bd31-a3c4aeb8a1df.0000002.jpg
132,52d96e16f5879dd69facb494772dd20f02ddb685,,kinha,1,12,40,0,Motivational/Inspirational,https://video-cdn.socialverseapp.com/kinha_16fac6ee-e758-4ab9-aec8-7c8afa1576cf.0000002.jpg
133,3667b91672132a4f19d8023d269244c606e69ae5,,kinha,1,12,32,1,motivational/narrative,https://video-cdn.socialverseapp.com/kinha_a7861c03-37a8-4ab9-97fd-1f6853700a4e.0000002.jpg
135,b3072cab6b4bddd92786fcb01114d595461c0181,,kinha,1,16,31,0,Nature Documentary / Emotional Narrative,https://video-cdn.socialverseapp.com/kinha_5efe6cf0-454c-4fcf-97ae-54115569ba33.0000002.jpg
137,24702488a5189b5bb9e29b6289c0f917449d97b8,,kinha,0,21,20,0,Inspirational / Motivational,https://video-cdn.socialverseapp.com/kinha_16d30c76-d5d3-4b40-ad0b-f1a5054dcb85.0000002.jpg
138,0596f2dcda5ae77a38371e94752c41f040c42ea6,,kinha,0,16,26,0,artistic/philosophical visual essay,https://video-cdn.socialverseapp.com/kinha_cd289952-7fe8-4803-8382-04000e8e4e87.0000002.jpg
142,e2f336861e22a234f9f6f186142be8a793ce5952,,kinha,4,54,36,0,philosophical narrative,https://video-cdn.socialverseapp.com/kinha_7dc8651e-3e0b-4767-9631-c1bcab490f4c.0000002.jpg
143,fec8c3245933e4b60e6549086304c3e36c6b9cac,,kinha,4,104,17,0,Inspirational/Reflective,https://video-cdn.socialverseapp.com/kinha_8a46a710-123b-4f79-9157-fa3b7cc6b31d.0000002.jpg
147,3eafcea4475f1b66d58d5ce5fb5f8760c4c1c9c2,,kinha,0,15,42,0,Technical Tutorial,https://video-cdn.socialverseapp.com/kinha_d440167a-f85a-4e71-b058-33096c6ad52c.0000002.jpg
148,363746f93f4be680142205169f22ce4d620d1cf9,,kinha,2,86,41,0,motivational/reflective,https://video-cdn.socialverseapp.com/kinha_ae59158d-fe8e-4834-8a52-8acbb853c89a.0000002.jpg
150,bb1049b0cb03164cd5b2c7bbc5d4da4c1c017968,,kinha,1,121,13,1,Motivational/Inspirational,https://video-cdn.socialverseapp.com/kinha_7e0d0b98-c682-4879-b6a8-bb090c9d186b.0000002.jpg
151,02b92417b73fdcbb87c8f54243475492290488d5,,kinha,6,133,12,0,Motivational,https://video-cdn.socialverseapp.com/kinha_0f1798a1-3b0c-423e-9ed4-f5f9fff51745.0000002.jpg
152,29884f6e42b104dd87e07862d0865e2582890568,,kinha,2,76,44,0,Educational,https://video-cdn.socialverseapp.com/kinha_ecc37b60-eb80-4e54-b4d9-9ee0797141f7.0000002.jpg
153,723772d8a5513dc8fb9d2b8e0a96bd705ba6aaba,,kinha,1,63,25,1,Technical Overview,https://video-cdn.socialverseapp.com/kinha_a81d4523-baee-4e2c-8644-86d3bab1573b.0000002.jpg
154,a6a83e53d75fac4f6d47a963dcc0459186a7f350,,kinha,1,67,16,0,Educational/Analytical,https://video-cdn.socialverseapp.com/kinha_9f8a0559-1089-492f-ab7d-8093120c70c2.0000002.jpg
